#separator:tab
#html:true
#columns:Key	Radical	Variant1	Variant2	ReferenceVariants	Pinyin	Meaning	MemberChars	Productivity	Frequency	Decomposition	MemberDecomp	Note	Link	Tags
#tags column:15
人:ren2	人	亻	𠆢		rén	man / person / people / CL:個|个[ge4],位[wei4]	你他们仁住信件位	942	7	once:㇒×2	你=亻+尔|他=亻+也|们=亻+门|仁=亻+二|住=亻+主|信=亻+言|件=亻+牛|位=亻+立		https://hanzicraft.com/dashboard/character/%E4%BA%BA%E4%BD%A0%E4%BB%96%E4%BB%AC%E4%BB%81%E4%BD%8F%E4%BF%A1%E4%BB%B6%E4%BD%8D	kangxi-radical radical-core
刀:dao1	刀	刂			dāo	knife	分切初利刻别到割	392	1065	once:㇆+丿	分=八+刀|切=七+刀|初=衤+刀|利=禾+刂|刻=亥+刂|别=另+刂|到=至+刂|割=害+刂		https://hanzicraft.com/dashboard/character/%E5%88%80%E5%88%86%E5%88%87%E5%88%9D%E5%88%A9%E5%88%BB%E5%88%AB%E5%88%B0%E5%89%B2	kangxi-radical radical-core
力:li4	力				lì	power	加办助劝努动励勇	147	106	once:㇆+丿	加=力+口|办=力+八|助=且+力|劝=又+力|努=奴+力|动=云+力|励=厉+力|勇=龴+男		https://hanzicraft.com/dashboard/character/%E5%8A%9B%E5%8A%A0%E5%8A%9E%E5%8A%A9%E5%8A%9D%E5%8A%AA%E5%8A%A8%E5%8A%B1%E5%8B%87	kangxi-radical radical-core
又:you4	又				yòu	again	友取受双叙叔变最	285	126	once:㇇+㇏	友=𠂇+又|取=耳+又|受=?+又|双=又|叙=余+又|叔=尗+又|变=亦+又|最=曰+取		https://hanzicraft.com/dashboard/character/%E5%8F%88%E5%8F%8B%E5%8F%96%E5%8F%97%E5%8F%8C%E5%8F%99%E5%8F%94%E5%8F%98%E6%9C%80	kangxi-radical radical-core
口:kou3	口				kǒu	mouth	吃喝叫喊唱嘴和可	1503	212	once:囗×2	吃=口+乞|喝=口+曷|叫=口+丩|喊=口+咸|唱=口+昌|嘴=口+觜|和=禾+口|可=丁+口		https://hanzicraft.com/dashboard/character/%E5%8F%A3%E5%90%83%E5%96%9D%E5%8F%AB%E5%96%8A%E5%94%B1%E5%98%B4%E5%92%8C%E5%8F%AF	kangxi-radical radical-core
土:tu3	土				tǔ	earth	地坐场城堂塔块境	346	515	once:十+一	地=土+也|坐=土+从|场=土+𠃓|城=土+成|堂=?+土|塔=土+荅|块=土+夬|境=土+竟		https://hanzicraft.com/dashboard/character/%E5%9C%9F%E5%9C%B0%E5%9D%90%E5%9C%BA%E5%9F%8E%E5%A0%82%E5%A1%94%E5%9D%97%E5%A2%83	kangxi-radical radical-core
大:da4	大				dà	big / huge / large / major / great / wide / deep / oldest / eldest	太天奇头央夸奥奋	374	17	once:人+一	太=大+丶|天=一+大|奇=大+可|头=大+⺀|央=大+冂|夸=大+亏|奥=?+大|奋=大+田		https://hanzicraft.com/dashboard/character/%E5%A4%A7%E5%A4%AA%E5%A4%A9%E5%A5%87%E5%A4%B4%E5%A4%AE%E5%A4%B8%E5%A5%A5%E5%A5%8B	kangxi-radical radical-core
女:nü3	女				nǚ	woman	好妈姐妹娘奶妻姑	248	224	once:㇛+丆	好=女+子|妈=女+马|姐=女+且|妹=女+未|娘=女+良|奶=女+乃|妻=?+女|姑=女+古		https://hanzicraft.com/dashboard/character/%E5%A5%B3%E5%A5%BD%E5%A6%88%E5%A7%90%E5%A6%B9%E5%A8%98%E5%A5%B6%E5%A6%BB%E5%A7%91	kangxi-radical radical-core
子:zi3	子				zǐ	child	孩学孙孔孤孵存季	109	37	once:了+一	孩=子+亥|学=?+子|孙=子+小|孔=子+乚|孤=子+瓜|孵=卵+孚|存=𠂇+仔|季=禾+子		https://hanzicraft.com/dashboard/character/%E5%AD%90%E5%AD%A9%E5%AD%A6%E5%AD%99%E5%AD%94%E5%AD%A4%E5%AD%B5%E5%AD%98%E5%AD%A3	kangxi-radical radical-core
宀:mian2	宀				mián	roof	家室宁宝完定院案	283		once:冖+丶	家=宀+豕|室=宀+至|宁=宀+丁|宝=宀+玉|完=宀+元|定=宀+𤴓|院=阝+完|案=安+木		https://hanzicraft.com/dashboard/character/%E5%AE%80%E5%AE%B6%E5%AE%A4%E5%AE%81%E5%AE%9D%E5%AE%8C%E5%AE%9A%E9%99%A2%E6%A1%88	kangxi-radical radical-core
山:shan1	山				shān	mountain	岛峰岭岗崖崎岔屿	171	259	once:丨+凵	岛=?+山|峰=山+夆|岭=山+令|岗=山+冈|崖=山+厓|崎=山+奇|岔=分+山|屿=山+与		https://hanzicraft.com/dashboard/character/%E5%B1%B1%E5%B2%9B%E5%B3%B0%E5%B2%AD%E5%B2%97%E5%B4%96%E5%B4%8E%E5%B2%94%E5%B1%BF	kangxi-radical radical-core
